[05/31/18 21:54:40] Server Open OK # Port:20000
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:1 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:2 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:3 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:4 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:5 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:6 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:7 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:8 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:9 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:10 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:11 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:12 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:13 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:14 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:15 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:16 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:17 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:18 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:19 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:20 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:21 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:22 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:23 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:24 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:25 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:26 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:27 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:28 
[05/31/18 21:54:51] Connect Session # IP:127.0.0.1 / SessionID:29 
